date,all_m,all_b,all_r,all_am,all_f,all_s,all_cl,all_cr,all_i,all_ar,all_p,all_ani,all_all,end_m,thrt_m,end_b,thrt_b,end_r,thrt_r,end_am,thrt_am,end_f,thrt_f,end_s,thrt_s,end_cl,thrt_cl,end_cr,thrt_cr,end_i,thrt_i,end_ar,thrt_ar,end_p,thrt_p,end_all,thrt_all
1-Jul-76,36,66,8,4,34,,22,,8,,,178,178,35,1,65,1,8,,4,,30,4,,,22,,,,6,2,,,,,170,8
1-Sep-76,36,66,8,4,34,,22,,8,,,178,178,35,1,65,1,8,,4,,30,4,,,22,,,,6,2,,,,,170,8
1-Oct-76,36,66,8,4,34,,22,,8,,,178,178,35,1,65,1,8,,4,,30,4,,,22,,,,6,2,,,,,170,8
1-Nov-76,36,66,8,4,34,,22,,8,,,178,178,35,1,65,1,8,,4,,30,4,,,22,,,,6,2,,,,,170,8
31-Dec-76,37,67,9,4,34,,22,,8,,,181,181,36,1,66,1,8,1,4,,30,4,,,22,,,,6,2,,,,,172,9
31-Jan-77,38,67,9,5,34,,22,,8,,,183,183,36,2,66,1,8,1,4,1,30,4,,,22,,,,6,2,,,,,172,11
28-Feb-77,38,67,9,5,34,,22,,8,,,183,183,36,2,66,1,8,1,4,1,30,4,,,22,,,,6,2,,,,,172,11
30-Mar-77,38,67,9,5,34,,22,,8,,,183,183,36,2,66,1,8,1,4,1,30,4,,,22,,,,6,2,,,,,172,11
30-Apr-77,38,67,9,5,34,,22,,8,,,183,183,36,2,66,1,8,1,4,1,30,4,,,22,,,,6,2,,,,,172,11
6-Jun-77,38,68,10,5,34,,22,,8,,,185,185,36,2,67,1,9,1,4,1,30,4,,,22,,,,6,2,,,,,174,11
30-Jun-77,38,68,10,5,34,,22,,8,,,185,185,36,2,67,1,9,1,4,1,30,4,,,22,,,,6,2,,,,,174,11
31-Jul-77,38,68,11,5,34,,22,,8,,,186,186,36,2,67,1,10,1,4,1,30,4,,,22,,,,6,2,,,,,175,11
31-Aug-77,38,70,12,5,34,,23,,8,,4,190,194,36,2,68,2,10,2,4,1,30,4,,,23,,,,6,2,,,4,,181,13
30-Sep-77,38,70,12,5,39,,23,,8,,4,195,199,36,2,68,2,10,2,4,1,30,9,,,23,,,,6,2,,,4,,181,18
31-Oct-77,38,70,12,5,39,,23,,8,,4,195,199,36,2,68,2,10,2,4,1,30,9,,,23,,,,6,2,,,4,,181,18
30-Nov-77,38,70,13,7,39,,23,,8,,4,198,202,36,2,68,2,10,3,5,2,30,9,,,23,,,,6,2,,,4,,182,20
31-Dec-77,38,70,13,7,39,,23,,8,,4,198,202,36,2,68,2,10,3,5,2,30,9,,,23,,,,6,2,,,4,,182,20
31-Jan-78,38,70,14,7,40,,23,,8,,4,200,204,36,2,68,2,10,4,5,2,30,10,,,23,,,,6,2,,,4,,182,22
28-Feb-78,38,71,16,7,40,,23,,8,,4,203,207,36,2,68,3,10,6,5,2,30,10,,,23,,,,6,2,,,4,,182,25
31-Mar-78,36,71,16,7,40,,23,1,8,,4,202,206,33,3,68,3,10,6,5,2,30,10,,,23,,1,,6,2,,,4,,180,26
30-Apr-78,36,71,16,7,41,,23,1,8,,17,203,220,33,3,68,3,10,6,5,2,29,12,,,23,,1,,6,2,,,15,2,190,30
31-May-78,36,71,16,7,41,,23,1,8,,17,203,220,33,3,68,3,10,6,5,2,29,12,,,23,,1,,6,2,,,15,2,190,30
30-Jun-78,36,71,16,7,41,,23,1,8,,17,203,220,33,3,68,3,10,6,5,2,29,12,,,23,,1,,6,2,,,15,2,190,30
31-Jul-78,36,70,20,7,41,7,23,1,8,,17,213,230,33,3,67,3,11,9,5,2,29,12,2,5,23,,1,,6,2,,,15,2,192,38
31-Aug-78,36,70,21,7,41,7,23,1,8,,17,214,231,33,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,15,2,192,39
30-Sep-78,36,70,21,7,41,7,23,1,8,,22,214,236,33,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,20,2,197,39
30-Nov-78,36,70,21,7,41,7,23,1,8,,22,214,236,33,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,20,2,197,39
31-Dec-78,36,70,21,7,41,7,23,1,8,,22,214,236,33,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,20,2,197,39
31-Jan-79,36,70,21,7,41,7,23,1,8,,22,214,236,33,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,20,2,197,39
28-Feb-79,36,70,21,7,41,7,23,1,8,,22,214,236,33,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,20,2,197,39
31-Mar-79,36,70,21,7,41,7,23,1,8,,22,214,236,33,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,20,2,197,39
30-Apr-79,36,70,21,7,41,7,23,1,8,,23,214,237,33,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,21,2,198,39
31-May-79,36,70,21,7,41,7,23,1,8,,23,214,237,33,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,21,2,198,39
30-Jun-79,36,70,21,7,41,7,23,1,8,,24,214,238,33,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,22,2,199,39
31-Jul-79,36,70,21,7,41,7,23,1,8,,25,214,239,33,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,23,2,200,39
31-Aug-79,36,70,21,7,41,7,23,1,8,,25,214,239,33,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,23,2,200,39
30-Sep-79,36,70,21,7,41,7,23,1,8,,26,214,240,33,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,24,2,201,39
31-Oct-79,36,70,21,7,41,7,23,1,8,,47,214,261,33,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,42,5,219,42
30-Nov-79,38,70,21,7,41,7,23,1,8,,56,216,272,35,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,49,7,228,44
31-Dec-79,38,70,21,7,41,7,23,1,8,,56,216,272,35,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,49,7,228,44
31-Jan-80,38,70,21,7,41,7,23,1,8,,56,216,272,35,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,49,7,228,44
29-Feb-80,38,70,21,7,41,7,23,1,8,,56,216,272,35,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,49,7,228,44
31-Mar-80,38,70,21,7,41,7,23,1,8,,56,216,272,35,3,67,3,11,10,5,2,29,12,2,5,23,,1,,6,2,,,49,7,228,44
30-Apr-80,38,70,22,7,43,7,23,1,9,,56,220,276,35,3,67,3,12,10,5,2,31,12,2,5,23,,1,,6,3,,,49,7,231,45
31-May-80,38,70,22,7,43,7,23,1,9,,56,220,276,35,3,67,3,12,10,5,2,31,12,2,5,23,,1,,6,3,,,49,7,231,45
30-Jun-80,38,70,22,7,43,7,23,1,9,,56,220,276,35,3,67,3,12,10,5,2,31,12,2,5,23,,1,,6,3,,,49,7,231,45
31-Jul-80,35,69,23,8,45,7,23,1,11,,56,222,278,32,3,66,3,13,10,5,3,33,12,2,5,23,0,1,0,7,4,,,49,7,231,47
31-Aug-80,35,69,23,8,46,7,23,1,13,,57,225,282,32,3,66,3,13,10,5,3,34,12,2,5,23,0,1,0,7,6,,,50,7,233,49
30-Sep-80,35,69,23,8,46,7,23,1,13,,58,225,283,32,3,66,3,13,10,5,3,34,12,2,5,23,0,1,0,7,6,,,51,7,234,49
30-Nov-80,35,69,23,8,46,7,23,1,13,,59,225,284,32,3,66,3,13,10,5,3,34,12,2,5,23,0,1,0,7,6,,,51,8,234,50
31-Dec-80,35,69,23,8,46,7,23,1,13,,59,225,284,32,3,66,3,13,10,5,3,34,12,2,5,23,0,1,0,7,6,,,51,8,234,50
31-Jan-81,35,69,23,8,46,7,23,1,13,,59,225,284,32,3,66,3,13,10,5,3,34,12,2,5,23,0,1,0,7,6,,,51,8,234,50
28-Feb-81,35,69,23,8,46,7,23,1,13,,59,225,284,32,3,66,3,13,10,5,3,34,12,2,5,23,0,1,0,7,6,,,51,8,234,50
31-Mar-81,35,69,25,8,45,7,23,1,13,,58,226,284,32,3,66,3,13,12,5,3,33,12,2,5,23,0,1,0,7,6,,,50,8,232,52
30-Apr-81,35,69,25,8,45,7,23,1,13,,58,226,284,32,3,66,3,13,12,5,3,33,12,2,5,23,0,1,0,7,6,,,50,8,232,52
31-May-81,35,69,25,8,45,7,23,1,13,,58,226,284,32,3,66,3,13,12,5,3,33,12,2,5,23,0,1,0,7,6,,,50,8,232,52
30-Jun-81,35,69,25,8,45,7,23,1,13,,58,226,284,32,3,66,3,13,12,5,3,33,12,2,5,23,0,1,0,7,6,,,50,8,232,52
31-Jul-81,35,69,25,8,45,7,23,1,13,,58,226,284,32,3,66,3,13,12,5,3,33,12,2,5,23,0,1,0,7,6,,,50,8,232,52
31-Aug-81,35,69,25,8,45,8,23,1,13,,61,227,288,32,3,66,3,13,12,5,3,33,12,3,5,23,0,1,0,7,6,,,53,8,236,52
30-Sep-81,35,69,25,8,45,8,23,1,13,,61,227,288,32,3,66,3,13,12,5,3,33,12,3,5,23,0,1,0,7,6,,,53,8,236,52
31-Oct-81,35,69,25,8,45,8,23,1,13,,61,227,288,32,3,66,3,13,12,5,3,33,12,3,5,23,0,1,0,7,6,,,53,8,236,52
30-Nov-81,35,69,25,8,45,8,23,1,13,,61,227,288,32,3,66,3,13,12,5,3,33,12,3,5,23,0,1,0,7,6,,,53,8,236,52
31-Dec-81,35,69,25,8,45,8,23,1,13,,61,227,288,32,3,66,3,13,12,5,3,33,12,3,5,23,0,1,0,7,6,,,53,8,236,52
31-Jan-82,35,69,25,8,44,8,23,1,13,,61,226,287,32,3,66,3,13,12,5,3,32,12,3,5,23,0,1,0,7,6,,,53,8,235,52
